id_corrida,id_piscina,numero_corrida,fecha_desde,fecha_hasta,fecha_siembra,fecha_pesca,dias_ciclo,dias_secos,cantidad_larvas_sembradas,laboratorio_larvas,laboratorio_nauplio,costo_transferencia,peso_inicial,ultimo_peso_registrado,peso_finca,libras_finca,id_cliente,codigo_larva,estado_ciclo,tipo_proceso,hectareas_corrida,corrida_origen
"BIO3,CP1,PJF-012,14",45,14,2024-07-07,2024-08-04,2024-07-11,2024-08-04,25,4,3500000.000000,PLUSLARVA 1,TEXCUMAR,0.000000,0.010000,0.000000,0.000000,0.000000,,"",Cerrado,,6.830000,""
"BIO3,CP1,PJF-012,15",45,15,2024-08-05,2024-09-03,2024-08-11,2024-09-03,24,6,2875000.000000,LAG ALVARADO,TEXCUMAR,0.000000,0.010000,0.120000,0.000000,0.000000,,"",Cerrado,,6.830000,""
"BIO3,CP1,PJF-012,16",45,16,2024-09-04,2024-10-26,2024-09-20,2024-10-26,37,16,3700000.000000,SANLAB BSO,TEXCUMAR,0.000000,0.010000,0.280000,0.000000,0.000000,,"",Cerrado,,6.830000,""
"BIO3,CP1,PJF-012,17",45,17,2024-10-27,2025-01-30,2024-11-05,2025-01-30,87,9,1270000.000000,MBL - BUSTE,TEXCUMAR,0.000000,0.010000,0.000000,21.600000,26400.000000,44,"",Cerrado,ENTERO,6.830000,""
"BIO3,CP1,PJF-012,18",45,18,2025-01-31,2025-04-26,2025-02-15,2025-04-26,71,15,683000.000000,PLUSLARVA 1,TEXCUMAR,15981.140000,0.600000,0.000000,30.000000,21950.000000,10,"",Cerrado,ENTERO,6.830000,"(CP1, PJF-006, 20, 54.00%)"
"BIO3,CP1,PJF-012,19",45,19,2025-04-27,2025-07-13,2025-05-13,2025-07-13,62,16,1024500.000000,PLUSLARVA 1,TEXCUMAR,4906.230000,0.200000,18.540000,20.400000,23400.000000,44,NC356RB10,Cerrado,ENTERO,6.830000,"(CP1, PJF-101, 58, 27.45%)"
"BIO3,CP1,PJF-012,20",45,20,2025-07-14,2025-09-22,2025-07-19,2025-09-22,66,5,1092800.000000,PLUSLARVA 1,TEXCUMAR,4269.470000,0.240000,20.450000,21.000000,36300.000000,12,I2-SNCOM5,Cerrado,ENTERO,6.830000,"(CP1, PJF-101, 61, 25.19%)"
"BIO3,CP1,PJF-012,21",45,21,2025-09-26,2025-12-01,2025-10-03,2025-12-01,60,7,1024500.000000,BUBBALAB,TEXCUMAR,4427.640000,0.290000,19.750000,21.600000,28000.000000,12,PRMCONT32G3,Cerrado,COLA,6.830000,"(CP1, PJF-101, 64, 25.00%)"
"BIO3,CP1,PJF-012,22",45,22,2025-12-02,2026-02-22,2025-12-19,2026-02-22,66,17,1126950.000000,PLUSLARVA 1,TEXCUMAR,5107.160000,0.330000,19.700000,21.600000,29820.000000,44,NICO4HPBV17ZG,Cerrado,COLA,6.830000,"(CP1, PJF-101, 67, 28.00%)"
"BIO3,CP1,PJF-012,23",45,23,2026-02-23,2026-04-26,2026-03-01,2026-04-26,57,6,875000.000000,PLUSLARVA 1,TEXCUMAR,7452.300000,0.480000,21.500000,21.500000,24350.000000,44,NC51GROR2G,Cerrado,COLA,6.830000,"(CP1, PJF-102, 70, 30.00%)"
"BIO3,CP1,PJF-012,24",45,24,2026-04-27,2026-06-30,2026-04-30,2026-06-30,62,3,908390.000000,TIBALLOSA,TEXCUMAR,4016.160000,0.350000,20.000000,22.000000,24700.000000,44,OMTC56GW8,Cerrado,COLA,6.830000,"(CP1, PJF-102, 71, 32.00%)"
"BIO3,CP1,PJF-013,01",48,01,2021-12-23,2022-04-20,2021-12-31,2022-04-20,111,8,826000.000000,LARDEMA,TEXCUMAR,0.000000,0.100000,0.000000,30.530000,27350.000000,,"",Cerrado,ENTERO,5.900000,""
"BIO3,CP1,PJF-013,02",48,02,2022-04-21,2022-08-03,2022-04-23,2022-08-03,103,2,826000.000000,CORPAQUAR,TEXCUMAR,4336.820000,0.060000,0.000000,26.550000,25270.000000,,"",Cerrado,ENTERO,5.900000,"(CP1, PJF-102, 07, 100.00%)"
"BIO3,CP1,PJF-013,03",48,03,2022-08-04,2022-11-15,2022-08-08,2022-11-15,100,4,1298000.000000,PLUSLARVA 1,TEXCUMAR,4558.190000,0.020000,0.000000,25.810000,37875.000000,,"",Cerrado,ENTERO,5.900000,"(CP1, PJF-101, 14, 93.00%)"
"BIO3,CP1,PJF-008,09",26,09,2024-02-04,2024-04-19,2024-02-06,2024-04-19,74,2,778050.000000,PLUSLARVA 1,TEXCUMAR,4665.490000,0.400000,23.190000,21.740000,30450.000000,,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 43, 49.00%)"
