id,codigo_piscina,horario,fecha,estado,tipo_sobrante,sobrante_kilo,m_viejo,m_rojo,m_fresco,suelo_danado,muda,oxigeno_bajo,observacion,id_corrida,id_sector,heces,balanceado_en_tolva
25927,PJF-014,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-014,17",8,false,false
25928,PJF-015,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-015,17",8,false,false
25929,PJF-016,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-016,16",8,false,false
25930,PJF-017,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-017,16",8,false,false
25931,PJF-101,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-101,66",8,false,false
25932,PJF-102,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,SIN NOVEDAD ,"BIO3,CP1,PJF-102,66",8,false,false
25933,BSP-001,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-001,15",7,false,false
25934,BSP-002,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-002,15",7,false,false
25935,BSP-003,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-003,14",7,false,false
25936,BSP-005,AM,2025-11-01,,4,0.00,0.0,0.0,0.0,false,false,false,mucho balanceado en rastrillo,"BIO2,CP5,BSP-005,32",7,false,false
25937,BSP-008,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-008,06",7,false,false
25938,BSP-009,AM,2025-11-01,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP5,BSP-009,06",7,false,false
25939,BSP-010,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-010,06",7,false,false
25940,BSP-012,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-012,14",7,false,false
25941,BSP-013,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-013,15",7,false,false
25942,BSP-014,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-014,14",7,false,false
25943,BSP-015,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP5,BSP-015,14",7,false,false
25944,BSP-001,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false, se hizo prueba de sonico de 7am,"BIO2,CP5,BSP-001,15",7,false,false
25945,BSP-003,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,poco balanceado en rastrillo se hizo prueba de sonido de 7am,"BIO2,CP5,BSP-003,14",7,false,false
25946,BSP-005,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,poco balanceado en rastrillo,"BIO2,CP5,BSP-005,32",7,false,false
25947,BSP-008,PM,2025-11-01,,4,0.00,0.0,0.0,0.0,false,false,false,mucho balanceado en rastrillo,"BIO2,CP5,BSP-008,06",7,false,false
25948,BSP-010,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false, se hizo prueba de sonido de 7am.  ,"BIO2,CP5,BSP-010,06",7,false,false
25949,BSP-011,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,poco balanceado en rastrillo,"BIO2,CP5,BSP-011,06",7,false,false
