id,id_empresa,id_sector,codigo_piscina,hectareaje,descripcion,id_organizacion,estado
216,2,3,BSF-021,5.35,PISCINA 21,1,activa
217,2,3,BSF-022,7.85,PISCINA 22,1,activa
218,2,3,BSF-023,3.75,PISCINA 23,1,activa
115,2,6,BA2-050,8.55,PISCINA 50,1,inactiva
219,2,3,BSF-024,7.67,PISCINA 24,1,activa
220,2,3,BSF-025,5.77,PISCINA 25,1,activa
221,2,3,BSF-026,6.33,PISCINA 26,1,activa
222,2,3,BSF-027,6.81,PISCINA 27,1,activa
223,2,3,BSF-028,6.42,PISCINA 28,1,activa
224,2,3,BSF-029,6.65,PISCINA 29,1,activa
225,2,3,BSF-030,5.88,PISCINA 30,1,activa
226,2,3,BSF-031,7.76,PISCINA 31,1,activa
227,2,3,BSF-032,4.23,PISCINA 32,1,activa
228,2,3,BSF-033,6.73,PISCINA 33,1,activa
229,2,3,BSF-034,4.22,PISCINA 34,1,activa
230,2,3,BSF-035,5.66,PISCINA 35,1,activa
231,2,5,BSS-031,8.82,PISCINA 31,1,activa
232,2,5,BSS-032,7.89,PISCINA 32,1,activa
233,2,5,BSS-033,4.65,PISCINA 33,1,activa
234,2,5,BSS-034,4.97,PISCINA 34,1,activa
235,2,5,BSS-035,4.60,PISCINA 35,1,activa
237,2,5,BSS-037,4.25,PISCINA 37,1,activa
238,2,5,BSS-038,4.30,PISCINA 38,1,activa
239,2,5,BSS-039,6.74,PISCINA 39,1,activa
241,2,5,BSS-041,3.82,PISCINA 41,1,activa
242,2,5,BSS-042,2.97,PISCINA 42,1,activa
243,3,9,PL1-002,4.50,PISCINA 02,1,activa
244,2,5,BSS-043,1.88,PISCINA 43,1,activa
245,3,9,PL1-003,4.30,PISCINA 03,1,activa
246,2,5,BSS-044,1.48,PISCINA 44,1,activa
247,3,9,PL1-004,10.50,PISCINA 04,1,activa
248,3,9,PL1-005,6.00,PISCINA 05,1,activa
249,3,9,PL1-006,5.80,PISCINA 06,1,activa
250,3,9,PL1-007,4.00,PISCINA 07,1,activa
251,3,9,PL1-008,6.40,PISCINA 08,1,activa
252,3,9,PL1-009,7.00,PISCINA 09,1,activa
253,3,9,PL1-010,8.30,PISCINA 10,1,activa
254,3,9,PL1-101,1.90,PRE 101,1,activa
255,3,9,PL1-102,2.20,PRE 102,1,activa
256,3,9,PL1-103,1.50,PRE 103,1,activa
257,3,9,PL1-104,1.50,PRE 104,1,activa
258,3,9,PL1-105,1.46,PRE 105,1,activa
259,3,9,PL1-106,1.55,PRE 106,1,activa
260,3,9,PL1-011,5.70,PISCINA 11,1,activa
261,3,9,PL1-012,3.80,PISCINA 12,1,activa
262,3,9,PL1-013,7.35,PISCINA 13,1,activa
263,3,9,PL1-014,6.76,PISCINA 14,1,activa
264,3,9,PL1-015,6.74,PISICNA 15,1,activa
265,3,9,PL1-016,6.18,PISCINA 16,1,activa
266,3,9,PL1-017,6.40,PISCINA 17,1,activa
267,3,9,PL1-018,4.55,PISCINA 18,1,activa
268,3,9,PL1-019,5.55,PISCINA 19,1,activa
269,3,9,PL1-020,5.00,PISCINA 20,1,activa
270,3,9,PL1-021,2.78,PISCINA 21,1,activa
271,3,9,PL1-022,5.00,PISCINA 22,1,activa
272,3,9,PL1-023,2.82,PISCINA 23,1,activa
273,3,9,PL1-024,6.50,PISCINA 24,1,activa
274,3,9,PL1-025,4.00,PISCINA 25,1,activa
275,3,9,PL1-026,3.00,PISCINA 26,1,activa
276,3,9,PL1-027,7.00,PISCINA 27,1,activa
277,3,9,PL1-028,5.50,PISCINA 28,1,activa
278,3,9,PL1-029,10.00,PISCINA 29,1,activa
279,3,9,PL1-030,4.40,PISCINA 30,1,activa
280,3,9,PL1-031,3.20,PISCINA 31,1,activa
281,3,9,PL1-032,2.00,PISCINA 32,1,activa
282,3,9,PL1-033,7.40,PISCINA 33,1,activa
283,3,9,PL1-034,9.00,PISCINA 34,1,activa
284,3,9,PL1-035,2.88,PISCINA 35,1,activa
285,3,9,PL1-036,6.70,PISCINA 36,1,activa
292,2,7,BSP-014,6.90,PISCINA 14,1,activa
293,3,9,PL1-040,4.70,PISCINA 40,1,activa
294,3,9,PL1-041,6.00,PISCINA 41,1,activa
295,3,9,PL1-042,6.40,PISCINA 42,1,activa
296,3,9,PL1-043,7.00,PISCINA 43,1,activa
297,3,9,PL1-044,7.00,PISCINA 44,1,activa
298,3,9,PL1-045,4.80,PISCINA 45,1,activa
299,3,9,PL1-046,7.65,PISCINA 46,1,activa
300,3,9,PL1-047,7.90,PISCINA 47,1,activa
301,3,11,PL3-001,100.00,PISCINA 01,1,activa
302,2,7,BSP-102,0.96,PRE 102,1,activa
303,2,7,BSP-103,1.10,PRE 103,1,activa
304,2,7,BSP-106,1.00,PRE 106,1,activa
305,2,7,BSP-015,6.00,PISCINA 15,1,activa
308,2,7,BSP-104,1.00,PRE 104,1,activa
309,2,7,BSP-105,1.00,PRE 105,1,activa
310,2,7,BSP-107,2.20,PRE 107,1,activa
312,1,2,BG2-043,8.22,PISCINA 43,1,activa
313,1,2,BG2-301,1.10,PRE 301,1,activa
314,1,2,BG2-302,1.13,PRE 302,1,activa
315,1,2,BG2-303,0.70,PRE 303,1,activa
316,1,2,BG2-044,8.19,PISCINA 44,1,activa
317,1,2,BG2-045,8.62,PISCINA 45,1,activa
318,1,2,BG2-046,12.60,PISCINA 46,1,activa
319,1,2,BG2-047,10.80,PISCINA 47,1,activa
320,1,2,BG2-048,10.40,PISCINA 48,1,activa
321,1,2,BG2-049,10.00,PISCINA 49,1,activa
322,1,2,BG2-050,7.50,PISCINA 50,1,activa
323,2,5,BSS-106,1.33,PRE 106,1,activa
324,2,5,BSS-107,1.33,PRE 107,1,activa
